id,user,total_class_count,covered_class_count,total_method_count,covered_method_count,total_line_count,covered_line_count,total_branch_count,covered_branch_count,tested_class,test_name,game_mode,created_at
136,f9ec833e-db4f-49b9-9b14-08298cbb4425,1,1,8,3,15,5,6,1,be.thibber.gamification.vehicle.Vehicle,VehicleTest.test2,1,2025-04-17 08:02:02.329680
137,f9ec833e-db4f-49b9-9b14-08298cbb4425,1,1,8,3,15,5,6,1,be.thibber.gamification.vehicle.Vehicle,VehicleTest,1,2025-04-17 08:02:15.472255
139,fb270a09-6a45-4eae-8f9a-3c808faec3ee,1,1,7,7,12,11,2,1,be.thibber.gamification.building.Building,BuildingTest,1,2025-04-17 08:03:53.733175
140,eed81e54-2343-44af-ab2f-cd062db7e11a,1,1,6,4,8,6,0,0,be.thibber.gamification.Road,RoadTest.addVehicles,1,2025-04-17 08:03:58.783490
141,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,11,8,24,14,12,4,be.thibber.gamification.vehicle.Car,CarTest.addPassenger,0,2025-04-17 08:04:08.211643
142,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,11,7,24,12,12,3,be.thibber.gamification.vehicle.Car,CarTest.addPassengerNull,0,2025-04-17 08:04:17.386384
143,f9ec833e-db4f-49b9-9b14-08298cbb4425,1,1,11,4,22,4,8,0,be.thibber.gamification.vehicle.Car,CarTest,1,2025-04-17 08:04:25.958666
144,0d271530-be17-4538-bf04-dde3c6069b5f,1,1,11,11,22,21,10,9,be.thibber.gamification.vehicle.Car,CarTest,0,2025-04-17 08:04:40.849025
145,eed81e54-2343-44af-ab2f-cd062db7e11a,1,1,6,4,8,6,0,0,be.thibber.gamification.Road,RoadTest.removeVehicles,1,2025-04-17 08:04:45.501029
146,b39dc415-9bb6-4d5d-a8f9-30fd61f6a594,1,0,6,0,8,0,0,0,be.thibber.gamification.Road,RoadTest.roadTest,0,2025-04-17 08:04:58.157820
147,eed81e54-2343-44af-ab2f-cd062db7e11a,1,1,6,3,8,5,0,0,be.thibber.gamification.Road,RoadTest.setName,1,2025-04-17 08:05:12.393227
